Model,Brand,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage_included,Weight_incbatteries,Dimensions,Price
Casio Exilim EX-S20,Casio,2003,1600.0,1280.0,1.0,35.0,35.0,80.0,30.0,10.0,100.0,83.0,249.0
Casio Exilim EX-S3,Casio,2003,2048.0,1600.0,3.0,35.0,35.0,80.0,80.0,10.0,110.0,90.0,249.0
Casio Exilim EX-S500,Casio,2005,2560.0,2304.0,4.0,38.0,114.0,40.0,17.0,8.0,125.0,90.0,249.0
Casio Exilim EX-S600,Casio,2005,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio Exilim EX-S600d,Casio,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio Exilim EX-S880,Casio,2007,3264.0,2816.0,8.0,38.0,114.0,50.0,15.0,10.0,138.0,94.5,249.0
Casio Exilim EX-V7,Casio,2007,3072.0,2560.0,7.0,38.0,266.0,30.0,10.0,11.0,190.0,96.0,299.0
Casio Exilim EX-V8,Casio,2007,3264.0,2816.0,8.0,38.0,266.0,40.0,10.0,11.0,199.0,96.0,299.0
Casio Exilim EX-Z10,Casio,2005,2560.0,2304.0,5.0,35.0,114.0,40.0,6.0,8.0,154.0,90.0,329.0
Casio Exilim EX-Z1000,Casio,2006,3648.0,2560.0,10.0,38.0,114.0,40.0,6.0,8.0,185.0,92.0,329.0
Casio Exilim EX-Z1050,Casio,2007,3648.0,2560.0,10.0,38.0,114.0,40.0,10.0,15.0,165.0,91.0,329.0
Casio Exilim EX-Z1080,Casio,2007,3648.0,2560.0,10.0,38.0,114.0,40.0,10.0,11.0,165.0,91.0,329.0
Casio Exilim EX-Z110,Casio,2005,2816.0,2304.0,6.0,35.0,114.0,40.0,6.0,8.0,151.0,90.0,329.0
Casio Exilim EX-Z120,Casio,2005,3072.0,2560.0,7.0,38.0,114.0,50.0,10.0,8.0,154.0,90.0,329.0
Casio Exilim EX-Z1200 SR,Casio,2007,4000.0,3264.0,12.0,37.0,111.0,40.0,6.0,11.0,162.0,93.0,329.0
Casio Exilim EX-Z3,Casio,2003,2048.0,1600.0,3.0,35.0,105.0,40.0,6.0,16.0,170.0,87.0,329.0
Casio Exilim EX-Z30,Casio,2004,2048.0,1600.0,3.0,35.0,105.0,40.0,6.0,9.0,150.0,87.0,329.0
Casio Exilim EX-Z4,Casio,2003,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,16.0,170.0,87.0,329.0
Casio Exilim EX-Z40,Casio,2004,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,9.0,150.0,87.0,329.0
Casio Exilim EX-Z5,Casio,2006,2560.0,2304.0,4.0,38.0,114.0,40.0,10.0,8.0,160.0,95.0,329.0
Casio Exilim EX-Z50,Casio,2004,2560.0,2048.0,5.0,35.0,105.0,50.0,6.0,9.0,171.0,87.0,329.0
Casio Exilim EX-Z500,Casio,2005,2560.0,2304.0,5.0,38.0,114.0,40.0,17.0,8.0,127.0,89.0,329.0
Casio Exilim EX-Z55,Casio,2004,2560.0,2048.0,5.0,35.0,105.0,50.0,6.0,9.0,180.0,87.0,329.0
Casio Exilim EX-Z57,Casio,2005,2560.0,2048.0,4.0,35.0,105.0,40.0,6.0,9.0,175.0,89.0,199.0
